Time 1.0000, Process 1, Started
Time 1.0000, Process 1, Resumed
Time 1.5000, Process 1, Paused
Time 1.5000, Process 1, Resumed
Time 1.9500, Process 1, Paused
Time 1.9500, Process 1, Resumed
Time 2.3550, Process 1, Paused
Time 2.3550, Process 2, Started
Time 2.3550, Process 2, Resumed
Time 2.6550, Process 2, Paused
Time 2.6550, Process 2, Resumed
Time 2.9250, Process 2, Paused
Time 2.9250, Process 2, Resumed
Time 3.1680, Process 2, Paused
Time 3.1680, Process 3, Started
Time 3.1680, Process 3, Resumed
Time 3.2680, Process 3, Paused
Time 3.2680, Process 3, Resumed
Time 3.3580, Process 3, Paused
Time 3.3580, Process 2, Resumed
Time 3.5767, Process 2, Paused
Time 3.5767, Process 3, Resumed
Time 3.6577, Process 3, Paused
Time 3.6577, Process 3, Resumed
Time 3.7306, Process 3, Paused
Time 3.7306, Process 3, Resumed
Time 3.7962, Process 3, Paused
Time 3.7962, Process 3, Resumed
Time 3.8553, Process 3, Paused
Time 3.8553, Process 1, Resumed
Time 4.2198, Process 1, Paused
Time 4.2198, Process 2, Resumed
Time 4.4166, Process 2, Paused
Time 4.4166, Process 3, Resumed
Time 4.4697, Process 3, Paused
Time 4.4697, Process 3, Resumed
Time 4.5176, Process 3, Paused
Time 4.5176, Process 3, Resumed
Time 4.5606, Process 3, Paused
Time 4.5606, Process 3, Resumed
Time 4.5994, Process 3, Paused
Time 4.5994, Process 1, Resumed
Time 4.9274, Process 1, Paused
Time 4.9274, Process 2, Resumed
Time 5.1045, Process 2, Paused
Time 5.1045, Process 3, Resumed
Time 5.1394, Process 3, Paused
Time 5.1394, Process 3, Resumed
Time 5.1708, Process 3, Paused
Time 5.1708, Process 3, Resumed
Time 5.1990, Process 3, Paused
Time 5.1990, Process 3, Resumed
Time 5.2245, Process 3, Paused
Time 5.2245, Process 1, Resumed
Time 5.5197, Process 1, Paused
Time 5.5197, Process 2, Resumed
Time 5.6791, Process 2, Paused
Time 5.6791, Process 3, Resumed
Time 5.7020, Process 3, Paused
Time 5.7020, Process 3, Resumed
Time 5.7226, Process 3, Paused
Time 5.7226, Process 3, Resumed
Time 5.7411, Process 3, Paused
Time 5.7411, Process 3, Resumed
Time 5.7578, Process 3, Paused
Time 5.7578, Process 1, Resumed
Time 6.0235, Process 1, Paused
Time 6.0235, Process 2, Resumed
Time 6.1670, Process 2, Paused
Time 6.1670, Process 3, Resumed
Time 6.1820, Process 3, Paused
Time 6.1820, Process 3, Resumed
Time 6.1955, Process 3, Paused
Time 6.1955, Process 3, Resumed
Time 6.2077, Process 3, Paused
Time 6.2077, Process 3, Resumed
Time 6.2186, Process 3, Paused
Time 6.2186, Process 1, Resumed
Time 6.4578, Process 1, Paused
Time 6.4578, Process 3, Resumed
Time 6.4676, Process 3, Paused
Time 6.4676, Process 3, Finished
waiting time for process 3 is: 2.4676
Time 6.4676, Process 2, Resumed
Time 6.5968, Process 2, Paused
Time 6.5968, Process 2, Resumed
Time 6.7130, Process 2, Paused
Time 6.7130, Process 2, Resumed
Time 6.8176, Process 2, Paused
Time 6.8176, Process 2, Resumed
Time 6.9117, Process 2, Paused
Time 6.9117, Process 1, Resumed
Time 7.1270, Process 1, Paused
Time 7.1270, Process 2, Resumed
Time 7.2117, Process 2, Paused
Time 7.2117, Process 2, Resumed
Time 7.2880, Process 2, Paused
Time 7.2880, Process 2, Resumed
Time 7.3566, Process 2, Paused
Time 7.3566, Process 2, Resumed
Time 7.4184, Process 2, Paused
Time 7.4184, Process 2, Resumed
Time 7.4740, Process 2, Paused
Time 7.4740, Process 1, Resumed
Time 7.6677, Process 1, Paused
Time 7.6677, Process 2, Resumed
Time 7.7177, Process 2, Paused
Time 7.7177, Process 2, Resumed
Time 7.7627, Process 2, Paused
Time 7.7627, Process 2, Resumed
Time 7.8032, Process 2, Paused
Time 7.8032, Process 2, Resumed
Time 7.8397, Process 2, Paused
Time 7.8397, Process 2, Resumed
Time 7.8725, Process 2, Paused
Time 7.8725, Process 1, Resumed
Time 8.0469, Process 1, Paused
Time 8.0469, Process 2, Resumed
Time 8.0764, Process 2, Paused
Time 8.0764, Process 2, Resumed
Time 8.1030, Process 2, Paused
Time 8.1030, Process 2, Resumed
Time 8.1269, Process 2, Paused
Time 8.1269, Process 2, Resumed
Time 8.1485, Process 2, Paused
Time 8.1485, Process 2, Resumed
Time 8.1679, Process 2, Paused
Time 8.1679, Process 1, Resumed
Time 8.3248, Process 1, Paused
Time 8.3248, Process 2, Resumed
Time 8.3422, Process 2, Paused
Time 8.3422, Process 2, Resumed
Time 8.3579, Process 2, Paused
Time 8.3579, Process 2, Resumed
Time 8.3720, Process 2, Paused
Time 8.3720, Process 2, Resumed
Time 8.3848, Process 2, Paused
Time 8.3848, Process 2, Resumed
Time 8.3962, Process 2, Paused
Time 8.3962, Process 1, Resumed
Time 8.5374, Process 1, Paused
Time 8.5374, Process 2, Resumed
Time 8.5477, Process 2, Paused
Time 8.5477, Process 2, Resumed
Time 8.5570, Process 2, Paused
Time 8.5570, Process 2, Finished
waiting time for process 2 is: 3.5570
Time 8.5570, Process 1, Resumed
Time 8.6841, Process 1, Paused
Time 8.6841, Process 1, Resumed
Time 8.7985, Process 1, Paused
Time 8.7985, Process 1, Resumed
Time 8.9014, Process 1, Paused
Time 8.9014, Process 1, Resumed
Time 8.9941, Process 1, Paused
Time 8.9941, Process 1, Resumed
Time 9.0775, Process 1, Paused
Time 9.0775, Process 1, Resumed
Time 9.1525, Process 1, Paused
Time 9.1525, Process 1, Resumed
Time 9.2200, Process 1, Paused
Time 9.2200, Process 1, Resumed
Time 9.2808, Process 1, Paused
Time 9.2808, Process 1, Resumed
Time 9.3355, Process 1, Paused
Time 9.3355, Process 1, Resumed
Time 9.3848, Process 1, Paused
Time 9.3848, Process 1, Resumed
Time 9.4291, Process 1, Paused
Time 9.4291, Process 1, Resumed
Time 9.4690, Process 1, Paused
Time 9.4690, Process 1, Resumed
Time 9.5049, Process 1, Paused
Time 9.5049, Process 1, Resumed
Time 9.5372, Process 1, Paused
Time 9.5372, Process 1, Resumed
Time 9.5663, Process 1, Paused
Time 9.5663, Process 1, Resumed
Time 9.5924, Process 1, Paused
Time 9.5924, Process 1, Resumed
Time 9.6160, Process 1, Paused
Time 9.6160, Process 1, Resumed
Time 9.6372, Process 1, Paused
Time 9.6372, Process 1, Resumed
Time 9.6562, Process 1, Paused
Time 9.6562, Process 1, Resumed
Time 9.6734, Process 1, Paused
Time 9.6734, Process 1, Resumed
Time 9.6889, Process 1, Paused
Time 9.6889, Process 1, Resumed
Time 9.7028, Process 1, Paused
Time 9.7028, Process 1, Resumed
Time 9.7153, Process 1, Paused
Time 9.7153, Process 1, Resumed
Time 9.7266, Process 1, Paused
Time 9.7266, Process 1, Resumed
Time 9.7367, Process 1, Paused
Time 9.7367, Process 1, Resumed
Time 9.7458, Process 1, Paused
Time 9.7458, Process 1, Finished
waiting time for process 1 is: 3.7458

Waiting Times:
Process 1: 3.7458
Process 2: 3.5570
Process 3: 2.4676
